from,to,relation ,year,Eindeutige Knoten
lois_2022,adsa,1,2022,wico
lois_2022,boba,1,2022,pafa
lois_2022,buyo,1,2022,kyya
lois_2022,caak,1,2022,spim
lois_2022,chje,1,2022,vikr
lois_2022,cind,1,2022,makr
lois_2022,dama,1,2022,lefu
lois_2022,inpe,1,2022,towe
lois_2022,jebu,1,2022,alpi
lois_2022,jennif,1,2022,
lois_2022,jede,1,2022,
lois_2022,labar,1,2022,
lois_2022,lehe,1,2022,
lois_2022,lewe,1,2022,
lois_2022,maam,1,2022,
lois_2022,mabru,1,2022,
lois_2022,nimu,1,2022,
lois_2022,sasc,1,2022,
lois_2022,saha,1,2022,
lois_2022,tosc,1,2022,
lois_2022,valea,1,2022,
lois_2022,vakl,1,2022,
lois_2023,fabi1,1,2023,
lois_2023,lezi,1,2023,
lois_2023,hamo,1,2023,
lois_2023,ray,1,2023,
lois_2023,luca1,1,2023,
lois_2023,daniel2,1,2023,
lois_2023,derr,1,2023,
lois_2023,robert1,1,2023,
lois_2023,anzo,1,2023,
lois_2023,jaso,1,2023,
lois_2023,lean,1,2023,
lois_2023,deni,1,2023,
lois_2023,evma,1,2023,
lois_2023,lale,1,2023,
lois_2023,alwic,1,2023,
lois_2023,jenny,1,2023,
lois_2023,vanw,1,2023,
lois_2023,celi,1,2023,
lois_2023,jean,1,2023,
lois_2023,luci,1,2023,
lois_2023,vawe,1,2023,
lois_2023,mira,1,2023,
lois_2024,meda,1,2024,
lois_2024,sahe,1,2024,
lois_2024,trca,1,2024,
lois_2024,aula,1,2024,
lois_2024,dacr,1,2024,
lois_2024,yeko,1,2024,
lois_2024,lubi,1,2024,
lois_2024,wico,1,2024,
lois_2024,pafa,1,2024,
lois_2024,chfr,1,2024,
lois_2024,jila,1,2024,
lois_2024,kyya,1,2024,
lois_2024,spim,1,2024,
lois_2024,vikr,1,2024,
lois_2024,makr,1,2024,
lois_2024,lefu,1,2024,
lois_2024,towe,1,2024,
lois_2024,yaci,1,2024,
lois_2024,alpi,1,2024,
